year,total_budget_cr,amc_grant_cr,library_income_cr,library_income_share_pct,amc_grant_share_pct,base_budget_before_new_plans_cr,base_grant_before_new_plans_cr,new_plans_cr,reading_material_cr,books_cr,periodicals_newspapers_cr,library_service_cr,administration_cr,maintenance_cr,it_automation_cr,establishment_payroll_cr,miscellaneous_cr,capital_cr,source_url,source_page_note,confidence,notes
2021-22,15.8255,15.1980,0.6275,3.97,96.03,15.3255,14.6980,0.5000,,,,,,,,,,,https://www.mjlibrary.in/assets/img/pdf/2021_2022.pdf,budget disclosure chapter/proactive disclosure 11,high,"OCR/manual extraction from reconciled budget paragraph. Expense categories not curated for this year."
2022-23,17.1325,16.5050,0.6275,3.66,96.34,15.3325,14.7050,1.8000,,,,,,,,,,,https://www.mjlibrary.in/assets/img/pdf/2022_2023.pdf,budget disclosure chapter/proactive disclosure 11,high,"OCR/manual extraction from reconciled budget paragraph. Expense categories not curated for this year."
2023-24,15.8335,15.2090,0.6245,3.94,96.06,15.0335,14.4090,0.8000,0.3900,0.3000,0.0900,1.0320,0.1390,0.8950,0.3100,10.8200,0.0375,1.4100,https://www.mjlibrary.in/assets/img/pdf/MJ_Library_Discloser_2023.pdf,budget disclosure chapter/proactive disclosure 11,high,"Disclosure table reconciles total expenditure to library income plus AMC grant and gives expense category split."
2024-25,18.7415,18.1195,0.6220,3.32,96.68,17.3915,16.7695,1.3500,,,,,,,,,,,https://www.mjlibrary.in/assets/img/pdf/MJLibraryDiscloser_07_06_2024.pdf,budget disclosure chapter/proactive disclosure 11,high,"Disclosure table reconciles total expenditure to library income plus AMC grant. Detailed expense category split not curated in this file except new plans."
2025-26,22.7675,21.9255,0.8420,3.70,96.30,20.0575,19.2155,2.7100,0.3275,0.2500,0.0775,1.5870,0.1690,1.5550,0.7600,14.0415,0.0375,1.5800,https://www.mjlibrary.in/assets/img/pdf/mj_discloser_rti_2025-26.pdf,budget disclosure chapter/proactive disclosure 11,high,"Disclosure table reconciles total expenditure to library income plus AMC grant. Library income is not necessarily user fees only; it is treated as an upper bound for fee/self-income coverage."
